"N","UbuntuDDE Remix","#0097f4","Ubuntu","2020.4.10",,,,,,,,,,,,
"N","Martine OS","#32373c","UbuntuDDE Remix","2021.3.25",,,,,,,,,,,,
"N","Ubuntu Unity","#79008d","Ubuntu","2020.5.7",,,,,,,,,,,,
"N","BeatriX","#c7bff0","Debian","2004.11.24","2005.1.29",,,,,,,,,,,
"N","Arco-Debian","#555555","Debian","2004.12.1","2013.06.14",,,"Arc-Live","2008.11.25",,,,,,,
"N","MoLinux","#ad1d5a","Debian","2004.12.15","2011.12.24",,,,,,,,,,,
"N","Tirwal","#e20a16","MoLinux","2005.2","2006",,,,,,,,,,,
"N","BlankOn","#0c7a00","Debian","2005.2.1",,,,,,,,,,,,
"N","Voyage Linux","#005a8c","Debian","2005.2.14","2020.05.12",,,,,,,,,,,
"N","Trisquel","#5fc8ff","Debian","2005.4",,,,,,,,,,,,
"N","LliureX","#369","Debian","2005.6.5",,,,,,,,,,,,
"N","VENENUX","#1841bd","Debian","2005.6.6","2013.07.08",,,,,,,,,,,
"N","Elive","#ebe25f","Debian","2005.7.22",,,,,,,,,,,,
"N","Tuquito","#96dec8","Debian","2005.9","2015.06.29",,,,,,,,,,,
"N","Finnix ","#000","Debian","2005.10.23",,,,,,,,,,,,
"N","OS2005","#fa8700","Debian","2005.11","2012",,,"Maemo","2009.11",,"Meego Harmattan","2011.6.21",,,,
"N","Mamona","#8ac73c","OS2005","2007.11.15","2009.09.12",,,,,,,,,,,
"N","2XOS","#bb1111","Debian","2005.11.10","2015.05.14",,,,,,,,,,,
